GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-service,mtogo.customer.server,Main,52,0,0,0,16,0,3,0,3,0
customer-service,mtogo.customer.server,JavalinBuilder,110,0,0,0,26,0,12,0,12,0
customer-service,mtogo.customer.controller,OrderController,73,133,16,7,8,39,15,8,5,6
customer-service,mtogo.customer.controller,ProductController,95,75,0,2,23,20,0,5,0,4
customer-service,mtogo.customer.DTO,menuItemDTO,38,18,0,0,17,7,11,1,11,1
customer-service,mtogo.customer.DTO,OrderDetailsDTO,78,65,2,0,25,22,10,10,9,10
customer-service,mtogo.customer.DTO,SupplierDTO.status,0,15,0,0,0,3,0,1,0,1
customer-service,mtogo.customer.DTO,OrderDetailsDTO.orderStatus,0,39,0,0,0,7,0,1,0,1
customer-service,mtogo.customer.DTO,OrderDetailsDTO.PaymentMethod,0,15,0,0,0,3,0,1,0,1
customer-service,mtogo.customer.DTO,SupplierDTO,31,15,0,0,13,6,9,1,9,1
customer-service,mtogo.customer.DTO,OrderLineDTO,15,41,0,0,8,16,4,8,4,8
customer-service,mtogo.customer.server.security,JwtTokenParser,17,0,0,0,5,0,2,0,2,0
customer-service,mtogo.customer.server.security,PublicKeyLoader,75,0,6,0,15,0,5,0,2,0
customer-service,mtogo.customer.server.security,Middleware,117,0,14,0,27,0,10,0,3,0
customer-service,mtogo.customer.server.security,AppRole,33,0,0,0,6,0,1,0,1,0
customer-service,mtogo.customer.messaging,Consumer,290,0,7,0,83,0,12,0,8,0
customer-service,mtogo.customer.messaging,Producer,266,238,27,23,64,80,22,15,2,10
customer-service,mtogo.payment,MobilePayStrategy,21,0,2,0,7,0,3,0,2,0
customer-service,mtogo.payment,PaypalStrategy,5,16,1,1,2,5,1,2,0,2
customer-service,mtogo.payment,RevenueShareCalculator,3,156,0,12,1,29,1,12,1,6
customer-service,mtogo.payment,PaymentService,5,15,1,1,2,5,1,3,0,3
customer-service,mtogo.customer.service,MenuService,0,88,0,2,0,24,0,6,0,5
customer-service,mtogo.customer.service,SupplierService,26,107,1,1,8,29,1,5,0,5
customer-service,mtogo.customer.exceptions,APIException,3,7,0,0,1,3,1,1,1,1
customer-service,mtogo.customer.exceptions,ExceptionHandler,29,0,0,0,6,0,3,0,3,0
customer-service,mtogo.customer.exceptions,ExceptionHandler.ErrorMessage,12,0,0,0,1,0,1,0,1,0
